Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,Dataset
MLPClassifier,DistilBERT,0.526100307,0.516954737,0.521863256,0.526100307,0.499614667,Eclipse
MLPClassifier,GCN,0.485158649,0.484050501,0.484860229,0.485158649,0.484984587,Eclipse
MLPClassifier,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
RandomForestClassifier,TF-IDF,0.511770727,0.5065309,0.507728392,0.511770727,0.503325623,Eclipse
RandomForestClassifier,DistilBERT,0.509723644,0.506772241,0.507669504,0.509723644,0.507196769,Eclipse
RandomForestClassifier,GCN,0.51381781,0.50964525,0.510785735,0.51381781,0.508578511,Eclipse
RandomForestClassifier,RNN,0.493346981,0.492333747,0.493138752,0.493346981,0.49322997,Eclipse
SVC,TF-IDF,0.541453429,0.532373285,0.540928877,0.541453429,0.516069198,Eclipse
SVC,DistilBERT,0.509723644,0.508245471,0.509050587,0.509723644,0.509233055,Eclipse
SVC,GCN,0.503582395,0.50127596,0.502081966,0.503582395,0.502111068,Eclipse
SVC,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
KNeighborsClassifier,TF-IDF,0.51381781,0.516274785,0.517370464,0.51381781,0.512205585,Eclipse
KNeighborsClassifier,DistilBERT,0.526100307,0.524648272,0.525470072,0.526100307,0.525626105,Eclipse
KNeighborsClassifier,GCN,0.515864893,0.512759599,0.513774631,0.515864893,0.513062448,Eclipse
KNeighborsClassifier,RNN,0.511770727,0.509313668,0.510193719,0.511770727,0.510081724,Eclipse
MultinomialNB,TF-IDF,0.53531218,0.527040696,0.532920076,0.53531218,0.514238937,Eclipse
MultinomialNB,DistilBERT,0.525076766,0.518507715,0.521268652,0.525076766,0.511834304,Eclipse
MultinomialNB,GCN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MultinomialNB,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MLPClassifier,TF-IDF,0.495394063,0.490782869,0.491168218,0.495394063,0.488783766,Eclipse
MLPClassifier,DistilBERT,0.559877175,0.558765509,0.559541393,0.559877175,0.559650672,Eclipse
MLPClassifier,GCN,0.523029683,0.522923207,0.523678037,0.523029683,0.523213671,Eclipse
