Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Eclipse,MLPClassifier,BERT,0.517911975,0.506707184,0.510363951,0.517911975,0.476278027
Eclipse,RandomForestClassifier,TF-IDF,0.505629478,0.498742928,0.499391781,0.505629478,0.490563624
Eclipse,RandomForestClassifier,BERT,0.504605937,0.501114366,0.50193646,0.504605937,0.500967287
Eclipse,SVC,TF-IDF,0.517911975,0.50826226,0.511362996,0.517911975,0.487786931
Eclipse,SVC,BERT,0.508700102,0.505051374,0.505977058,0.508700102,0.504723413
Eclipse,KNeighborsClassifier,TF-IDF,0.495901639,0.499343832,0.500161087,0.495901639,0.492541451
Eclipse,KNeighborsClassifier,BERT,0.536885246,0.534087085,0.535345307,0.536885246,0.534814828
Eclipse,MultinomialNB,TF-IDF,0.513319672,0.504719362,0.506462349,0.513319672,0.490859396
Eclipse,MultinomialNB,BERT,0.537909836,0.527752541,0.536928771,0.537909836,0.507231874
Eclipse,MLPClassifier,TF-IDF,0.514344262,0.509909819,0.511130459,0.514344262,0.508726065
Eclipse,MLPClassifier,BERT,0.524590164,0.527744128,0.52936542,0.524590164,0.522049065
Eclipse,RandomForestClassifier,TF-IDF,0.518442623,0.512669089,0.514427651,0.518442623,0.508763839
Eclipse,RandomForestClassifier,BERT,0.518442623,0.515361061,0.516438466,0.518442623,0.515852518
Eclipse,SVC,TF-IDF,0.525614754,0.514932028,0.520906803,0.525614754,0.490655963
Eclipse,SVC,BERT,0.522540984,0.519045696,0.520295866,0.522540984,0.519166486
Eclipse,KNeighborsClassifier,TF-IDF,0.506147541,0.504438921,0.505209494,0.506147541,0.505372978
Eclipse,KNeighborsClassifier,BERT,0.49692623,0.494764134,0.49548801,0.49692623,0.495569294
Eclipse,MultinomialNB,TF-IDF,0.510245902,0.503669312,0.504840148,0.510245902,0.495925157
Eclipse,MultinomialNB,BERT,0.511270492,0.502577981,0.503917835,0.511270492,0.485556782
Eclipse,MLPClassifier,TF-IDF,0.505122951,0.509845111,0.511296877,0.505122951,0.498003524
Eclipse,MLPClassifier,BERT,0.520491803,0.518405437,0.519276201,0.520491803,0.519252785
Eclipse,RandomForestClassifier,TF-IDF,0.512295082,0.507799128,0.508912268,0.512295082,0.505824003
Eclipse,RandomForestClassifier,BERT,0.494877049,0.491992699,0.492631817,0.494877049,0.492297127
Eclipse,SVC,TF-IDF,0.50102459,0.492556238,0.491751413,0.50102459,0.476285434
Eclipse,SVC,BERT,0.518442623,0.515234478,0.516299196,0.518442623,0.515275074
GCC,KNeighborsClassifier,TF-IDF,0.573,0.522850549,0.549735502,0.573,0.553722357
GCC,KNeighborsClassifier,BERT,0.575,0.54193619,0.566168777,0.575,0.569454066
GCC,MultinomialNB,TF-IDF,0.619,0.529773937,0.592400814,0.619,0.54023189
GCC,MultinomialNB,BERT,0.592,0.507243447,0.53860303,0.592,0.521021384
GCC,MLPClassifier,TF-IDF,0.584,0.53796914,0.565006993,0.584,0.568522255
