Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Eclipse,SVC,TF-IDF,0.574206755,0.566406578,0.578192874,0.574206755,0.55684925
Eclipse,SVC,DistilBERT,0.539406346,0.535724779,0.537485079,0.539406346,0.535499497
Eclipse,KNeighborsClassifier,TF-IDF,0.498464688,0.501920236,0.502786685,0.498464688,0.49489701
Eclipse,KNeighborsClassifier,DistilBERT,0.518935517,0.517676662,0.518473295,0.518935517,0.518626238
Eclipse,MultinomialNB,TF-IDF,0.515864893,0.508094371,0.510179255,0.515864893,0.496769179
Eclipse,MultinomialNB,DistilBERT,0.514841351,0.509156272,0.510636636,0.514841351,0.504879719
Eclipse,MLPClassifier,TF-IDF,0.533265097,0.535957725,0.537526716,0.533265097,0.531412866
Eclipse,MLPClassifier,DistilBERT,0.5209826,0.514243322,0.516643986,0.5209826,0.506923919
Eclipse,RandomForestClassifier,TF-IDF,0.503582395,0.497511039,0.498091935,0.503582395,0.491968119
Eclipse,RandomForestClassifier,DistilBERT,0.491299898,0.488892013,0.489598868,0.491299898,0.489668316
Eclipse,SVC,TF-IDF,0.517911975,0.50826226,0.511362996,0.517911975,0.487786931
Eclipse,SVC,DistilBERT,0.514841351,0.510711348,0.511880831,0.514841351,0.509719736
Eclipse,KNeighborsClassifier,TF-IDF,0.495901639,0.499343832,0.500161087,0.495901639,0.492541451
Eclipse,KNeighborsClassifier,DistilBERT,0.50307377,0.501270274,0.502113276,0.50307377,0.502314714
Eclipse,MultinomialNB,TF-IDF,0.513319672,0.504719362,0.506462349,0.513319672,0.490859396
Eclipse,MultinomialNB,DistilBERT,0.542008197,0.53480214,0.540000248,0.542008197,0.527233105
Eclipse,MLPClassifier,TF-IDF,0.506147541,0.50279292,0.503685808,0.506147541,0.503003906
Eclipse,MLPClassifier,DistilBERT,0.535860656,0.537982031,0.539301881,0.535860656,0.534884814
Eclipse,RandomForestClassifier,TF-IDF,0.520491803,0.515983579,0.517466168,0.520491803,0.514722495
Eclipse,RandomForestClassifier,DistilBERT,0.517418033,0.513703816,0.51488555,0.517418033,0.513559716
Eclipse,SVC,TF-IDF,0.525614754,0.514932028,0.520906803,0.525614754,0.490655963
Eclipse,SVC,DistilBERT,0.524590164,0.521687193,0.52281548,0.524590164,0.522325052
Eclipse,KNeighborsClassifier,TF-IDF,0.506147541,0.504438921,0.505209494,0.506147541,0.505372978
Eclipse,KNeighborsClassifier,DistilBERT,0.49795082,0.495910137,0.496645987,0.49795082,0.496764138
Eclipse,MultinomialNB,TF-IDF,0.510245902,0.503669312,0.504840148,0.510245902,0.495925157
Eclipse,MultinomialNB,DistilBERT,0.515368852,0.508520374,0.510338869,0.515368852,0.499909347
Eclipse,MLPClassifier,TF-IDF,0.511270492,0.506253601,0.507380813,0.511270492,0.503130692
Eclipse,MLPClassifier,DistilBERT,0.523565574,0.517928111,0.52009322,0.523565574,0.513383973
Eclipse,RandomForestClassifier,TF-IDF,0.510245902,0.504947789,0.506038006,0.510245902,0.501115493
Eclipse,RandomForestClassifier,DistilBERT,0.504098361,0.501108153,0.501884404,0.504098361,0.501332317
Eclipse,SVC,TF-IDF,0.50102459,0.492556238,0.491751413,0.50102459,0.476285434
Eclipse,SVC,DistilBERT,0.522540984,0.518939537,0.520207805,0.522540984,0.518520173
